Date,Open,High,Low,Close,Volume
2015-10-05,180.14,182.18,180.00,181.96,2049100
2015-10-06,181.88,182.41,180.59,181.35,1325400
2015-10-07,182.40,183.19,181.05,182.87,1693800
2015-10-08,182.44,184.78,182.08,184.48,3109600
2015-10-09,184.66,185.08,183.91,184.58,1651000
2015-10-12,184.68,184.93,184.18,184.80,885100
2015-10-13,183.98,185.31,183.39,183.57,1022300
2015-10-14,183.45,184.13,182.39,182.71,1184100
2015-10-15,183.40,185.49,183.02,185.45,2523100
2015-10-16,185.92,186.34,185.12,186.20,1241200
2015-10-19,185.66,186.43,185.31,186.42,768900
2015-10-20,186.02,186.87,185.70,186.18,1151200
2015-10-21,186.79,186.81,184.86,184.97,1556900
2015-10-22,186.02,188.38,185.97,188.17,1498300
2015-10-23,190.00,190.63,189.14,190.22,1624300
2015-10-26,190.11,190.12,189.39,189.77,1150500
2015-10-27,189.08,189.76,188.65,189.40,1442400
2015-10-28,189.84,191.60,189.06,191.60,2251900
2015-10-29,191.04,191.85,190.89,191.53,1779000
2015-10-30,191.82,192.00,190.56,190.56,2011600
2015-11-02,190.98,193.09,190.85,192.82,2403500
2015-11-03,192.54,194.06,192.28,193.43,3920400
2015-11-04,193.77,193.90,192.28,192.88,1786700
2015-11-05,192.99,193.44,191.71,192.64,2185100
2015-11-06,192.26,192.83,191.12,192.56,2172600
2015-11-09,191.89,192.01,189.75,190.76,2127800
2015-11-10,190.26,191.25,189.91,191.12,1257500
2015-11-11,191.48,191.55,190.39,190.39,1114700
2015-11-12,189.36,189.81,187.78,187.84,2454900
2015-11-13,187.35,187.62,185.58,185.67,3224000
2015-11-16,185.50,188.55,185.36,188.52,1687100
2015-11-17,188.86,189.79,187.83,188.29,1879900
2015-11-18,188.91,191.51,188.89,191.32,2858600
2015-11-19,191.30,191.68,190.90,191.22,2154800
2015-11-20,192.01,192.66,191.50,191.93,1317600
2015-11-23,191.89,192.54,191.20,191.71,1308100
2015-11-24,190.63,192.38,190.18,192.02,1572000
2015-11-25,192.15,192.31,191.67,191.96,758700
2015-11-27,192.08,192.38,191.50,192.15,894500
2015-11-30,192.45,192.47,191.24,191.37,1551000
2015-12-01,192.05,193.30,191.78,193.22,1812900
2015-12-02,193.18,193.45,190.92,191.18,1999600
2015-12-03,191.56,191.75,187.73,188.46,2724400
2015-12-04,188.99,192.52,188.84,192.16,2900700
2015-12-07,191.88,191.88,189.98,190.95,1752800
2015-12-08,189.25,190.72,188.67,189.73,1721700
2015-12-09,189.12,191.32,187.20,188.31,4500300
2015-12-10,188.50,190.18,188.10,188.74,4083800
2015-12-11,186.44,187.15,184.75,184.98,3084400
2015-12-14,185.32,186.09,183.31,186.09,2722600
2015-12-15,187.75,188.96,187.53,188.03,3799300
2015-12-16,189.28,191.08,187.70,190.67,6361700
2015-12-17,191.14,191.16,187.82,187.89,3096000
2015-12-18,186.95,187.08,184.40,184.40,4531400
2015-12-21,184.74,185.07,183.47,184.93,2168400
2015-12-22,185.85,186.89,184.80,186.60,2423300
2015-12-23,187.75,188.94,187.57,188.84,2275500
2015-12-24,188.69,189.17,188.34,188.51,1170800
2015-12-28,187.85,188.18,187.00,188.10,2668300
2015-12-29,189.43,190.51,189.34,190.20,1757100
2015-12-30,189.97,189.99,188.67,188.80,2535800
2015-12-31,188.12,188.76,186.93,186.93,2395200
2016-01-04,183.77,184.32,182.08,184.31,4193500
2016-01-05,184.57,185.12,183.43,184.64,2882500
2016-01-06,181.93,183.38,181.19,182.30,2755100
2016-01-07,179.15,181.00,177.50,177.86,4952500
2016-01-08,178.97,179.53,175.65,175.97,7357300
2016-01-11,177.04,177.32,174.06,175.99,4493300
2016-01-12,177.75,178.36,175.26,177.45,2998800
2016-01-13,178.43,178.64,172.72,173.11,4125700
2016-01-14,173.79,177.18,172.06,175.92,5081400
2016-01-15,171.20,173.06,170.10,172.15,8087300
2016-01-19,174.20,174.29,170.72,172.34,5863300
2016-01-20,169.59,171.88,165.96,170.32,8577600
2016-01-21,170.79,173.14,169.33,171.15,3004600
2016-01-22,174.03,174.86,173.18,174.66,2611700
2016-01-25,174.10,174.33,171.83,172.07,2756400
2016-01-26,172.85,174.66,172.39,174.40,2263700
2016-01-27,173.89,175.62,171.50,172.42,3543000
2016-01-28,174.13,174.35,171.65,173.36,2616400
2016-01-29,174.34,177.75,174.08,177.75,4453100
2016-02-01,176.61,178.39,175.91,177.59,3923200
2016-02-02,175.86,176.09,173.80,174.37,5101200
2016-02-03,175.47,175.81,171.57,175.39,3871000
2016-02-04,174.95,176.70,174.23,175.61,3562200
2016-02-05,175.04,175.19,171.65,172.31,2371900
2016-02-08,170.29,170.62,167.62,169.94,3402000
2016-02-09,168.18,171.37,167.97,169.99,2360700
2016-02-10,170.93,172.65,169.72,169.88,1953600
2016-02-11,167.26,168.72,166.05,167.70,3439200
2016-02-12,169.54,171.14,168.70,171.14,1800300
2016-02-16,173.20,174.01,172.05,174.01,2361000
2016-02-17,175.32,177.25,175.12,176.86,2265400
2016-02-18,177.20,177.22,175.80,176.11,1646000
2016-02-19,175.28,176.20,174.65,176.07,1136900
2016-02-22,177.78,178.75,177.71,178.59,2603100
2016-02-23,177.92,178.19,176.22,176.35,2076000
2016-02-24,174.79,177.45,173.60,177.18,2599800
2016-02-25,177.70,179.31,176.83,179.31,2546000
2016-02-26,180.20,180.36,178.74,178.98,2560800
2016-02-29,178.94,179.95,177.38,177.38,3128400
2016-03-01,178.84,181.75,178.33,181.75,3041400
2016-03-02,181.36,182.54,180.91,182.52,3839200
2016-03-03,182.27,183.23,181.70,183.19,3150400
2016-03-04,183.45,184.66,182.55,183.78,2821000
2016-03-07,182.85,184.39,182.75,183.98,3449900
2016-03-08,182.83,183.33,181.78,181.91,3385400
2016-03-09,182.85,183.22,182.01,182.91,1641600
2016-03-10,183.38,184.39,181.03,183.01,2090500
2016-03-11,184.57,186.01,184.46,185.98,2231000
2016-03-14,185.40,186.20,185.07,185.70,1412800
2016-03-15,184.70,185.46,184.42,185.46,1325300
2016-03-16,184.88,186.93,184.86,186.57,2700700
2016-03-17,186.42,188.24,186.00,187.75,1937300
2016-03-18,188.35,188.79,187.91,188.45,2623400
2016-03-21,187.18,187.94,186.91,187.73,1535400
2016-03-22,186.89,188.21,186.71,187.63,1521600
2016-03-23,187.18,187.36,186.18,186.43,1633300
2016-03-24,185.25,186.32,185.01,186.30,1874800
2016-03-28,186.76,186.94,185.92,186.43,1271200
2016-03-29,185.99,188.22,185.63,188.22,1604900
2016-03-30,189.17,189.72,188.58,189.01,1908400
2016-03-31,188.85,189.29,188.32,188.56,3007800
2016-04-01,187.40,189.96,187.10,189.77,2971800
2016-04-04,189.74,189.90,188.83,189.17,1259500
2016-04-05,187.74,188.21,187.00,187.25,1737500
2016-04-06,187.39,189.38,187.09,189.29,1860800
2016-04-07,188.17,188.50,186.26,187.06,2635300
2016-04-08,188.31,188.77,186.99,187.57,2043800
2016-04-11,188.26,188.99,187.03,187.08,1355300
2016-04-12,187.29,189.18,186.83,188.90,1590700
2016-04-13,189.88,190.85,189.71,190.79,1972900
2016-04-14,190.84,191.31,190.41,190.77,3214800
2016-04-15,190.80,190.85,190.22,190.56,2059700
2016-04-18,189.99,191.94,189.85,191.94,2345300
2016-04-19,192.36,192.78,191.64,192.52,1633300
2016-04-20,192.60,193.43,192.05,192.68,1636800
2016-04-21,192.70,192.82,191.37,191.61,1814700
2016-04-22,191.30,191.94,190.69,191.66,1863900
2016-04-25,191.07,191.36,190.35,191.35,2368000
2016-04-26,191.72,192.16,191.14,191.63,1715300
2016-04-27,191.21,192.44,190.80,192.03,1971700
2016-04-28,191.22,192.40,189.85,190.30,1578800
2016-04-29,189.62,189.98,188.05,189.22,2785500
2016-05-02,189.81,190.95,189.34,190.73,1638900
2016-05-03,189.44,189.66,188.28,189.10,2351900
2016-05-04,187.99,188.78,187.47,187.99,2079600
2016-05-05,188.57,188.90,187.57,187.97,1611600
2016-05-06,187.21,188.72,187.00,188.65,1551400
2016-05-09,188.55,189.27,188.36,188.85,1569000
2016-05-10,189.61,191.21,189.54,191.19,1021100
2016-05-11,190.71,191.07,189.39,189.40,2725500
2016-05-12,190.14,190.29,188.36,189.51,1783200
2016-05-13,189.10,189.71,187.46,187.76,1658700
2016-05-16,187.98,190.16,187.93,189.63,1075000
2016-05-17,189.35,189.65,187.33,187.96,3327100
2016-05-18,187.50,189.20,186.78,187.93,1942000
2016-05-19,187.15,187.59,185.97,187.32,1796000
2016-05-20,187.97,189.05,187.90,188.49,1588700
2016-05-23,188.48,188.78,188.02,188.24,1415400
2016-05-24,189.13,191.01,189.08,190.63,1985400
2016-05-25,191.38,192.42,191.36,191.93,2006700
2016-05-26,192.14,192.36,191.68,192.02,1225300
2016-05-27,192.19,192.83,192.16,192.77,988600
2016-05-31,193.16,193.27,191.88,192.54,2821900
2016-06-01,191.88,193.06,191.63,192.90,2375500
2016-06-02,192.45,193.48,191.92,193.48,1601700
2016-06-03,192.85,193.26,191.59,192.92,1897100
2016-06-06,193.29,194.24,193.12,193.85,1177600
2016-06-07,194.05,194.78,194.02,194.20,1551200
2016-06-08,194.34,194.95,194.21,194.84,1041100
2016-06-09,194.02,194.69,193.75,194.54,1521600
2016-06-10,193.07,193.43,192.12,192.67,1932900
2016-06-13,192.03,192.97,191.12,191.22,2318200
2016-06-14,190.83,191.45,189.80,190.80,2051200
2016-06-15,191.26,191.96,190.36,190.52,1590700
2016-06-16,189.60,191.33,188.57,191.14,2744400
2016-06-17,191.10,191.10,189.73,190.43,1701000
2016-06-20,192.56,193.26,191.56,191.65,1192800
2016-06-21,191.15,191.65,190.65,191.24,1826500
2016-06-22,191.45,192.21,190.78,190.92,2245900
2016-06-23,192.52,193.44,192.00,193.39,2582200
2016-06-24,187.00,189.82,186.00,186.34,10310500
2016-06-27,185.06,185.06,182.27,183.05,7717000
2016-06-28,184.87,186.44,184.53,186.43,4475900
2016-06-29,187.95,189.86,187.86,189.64,4147800
2016-06-30,190.13,192.24,189.53,192.20,3822200
2016-07-01,192.09,193.12,192.07,192.60,2170900
2016-07-05,191.73,191.82,190.57,191.25,2233000
2016-07-06,190.71,192.49,189.97,192.38,2197800
2016-07-07,192.56,193.26,191.44,192.25,1704900
2016-07-08,193.63,195.36,193.41,195.17,2048200
2016-07-11,195.62,196.41,195.41,195.85,3590400
2016-07-12,196.84,197.54,196.59,197.23,2356700
2016-07-13,197.69,197.69,196.69,197.16,2767300
2016-07-14,198.58,198.80,197.89,198.31,3691100
2016-07-15,198.93,198.93,197.56,198.01,2346500
2016-07-18,198.15,198.74,197.90,198.58,1155700
2016-07-19,198.13,198.39,197.88,198.36,1003200
2016-07-20,198.92,199.44,198.41,199.16,1096900
2016-07-21,199.07,199.32,197.97,198.41,4509800
2016-07-22,198.62,199.38,198.30,199.33,1678900
2016-07-25,199.10,199.17,198.17,198.85,1172600
2016-07-26,198.70,199.25,197.97,198.84,1405300
2016-07-27,199.29,199.34,197.85,198.71,2120100
2016-07-28,198.49,199.21,197.98,198.93,937200
2016-07-29,198.63,199.60,198.32,199.28,1758600
2016-08-01,199.33,199.71,198.58,199.05,2111500
2016-08-02,198.79,198.94,196.88,197.81,4085800
2016-08-03,197.74,198.42,197.40,198.38,2057500
2016-08-04,198.50,198.90,198.05,198.57,1384700
2016-08-05,199.34,200.22,199.19,200.17,1818600
2016-08-08,200.41,200.51,199.79,200.07,1441900
2016-08-09,200.19,200.73,199.86,200.20,1821100
2016-08-10,200.34,200.40,199.33,199.69,1222300
2016-08-11,200.31,200.89,200.00,200.67,1644700
2016-08-12,200.32,200.70,200.04,200.47,1718400
2016-08-15,200.89,201.41,200.85,201.05,1051100
2016-08-16,200.61,200.66,200.00,200.01,1731200
2016-08-17,200.05,200.53,199.14,200.34,3157700
2016-08-18,200.37,200.86,200.25,200.82,5211200
2016-08-19,200.34,200.72,199.81,200.54,1190800
2016-08-22,200.30,200.75,199.88,200.52,880300
2016-08-23,201.18,201.51,200.86,200.89,1214400
2016-08-24,200.78,200.87,199.46,199.92,1161300
2016-08-25,199.48,200.21,199.33,199.76,1262600
2016-08-26,199.96,201.05,198.44,199.38,2890600
2016-08-29,199.53,200.65,199.49,200.39,1140700
2016-08-30,200.28,200.57,199.45,200.01,1407400
2016-08-31,199.70,199.82,198.65,199.52,2343900
2016-09-01,199.50,199.79,198.24,199.48,2196100
2016-09-02,200.41,200.83,199.78,200.37,1555800
2016-09-06,200.69,201.04,199.92,201.00,1589600
2016-09-07,200.82,201.15,200.32,200.99,1455400
2016-09-08,200.62,200.92,200.19,200.52,2180400
2016-09-09,199.08,199.18,195.67,195.68,3435600
2016-09-12,194.88,198.95,194.80,198.48,2799900
2016-09-13,196.25,196.51,194.12,194.78,3365300
2016-09-14,194.83,196.12,194.12,194.66,2967100
2016-09-15,194.51,197.07,194.37,196.66,1874400
2016-09-16,196.02,196.19,195.17,195.89,1774100
2016-09-19,196.63,197.28,195.64,195.95,2061400
2016-09-20,196.86,197.03,195.93,195.97,1294100
2016-09-21,196.69,198.34,195.98,198.17,2238800
2016-09-22,199.26,199.71,198.98,199.36,2215200
2016-09-23,198.98,199.11,198.22,198.29,1413400
2016-09-26,197.47,197.60,196.50,196.71,2451600
2016-09-27,196.53,198.01,196.16,197.91,1468000
2016-09-28,198.18,199.07,197.13,198.98,1419900
2016-09-29,198.71,199.11,196.54,197.11,2074600
2016-09-30,198.01,199.34,197.75,198.69,3147400
2016-10-03,198.18,198.35,197.45,198.06,2136000
2016-10-04,198.25,198.47,196.48,197.14,2846600
2016-10-05,197.77,198.44,197.72,197.96,1126700
2016-10-06,197.74,198.34,197.16,198.19,1117400
2016-10-07,198.42,198.60,196.65,197.46,1795100
2016-10-10,197.46,198.95,197.46,198.37,1297400
2016-10-11,198.00,198.07,195.19,195.96,2643500
2016-10-12,196.12,196.74,195.59,196.21,1458700
2016-10-13,194.83,196.11,193.92,195.58,2407100
2016-10-14,196.65,197.12,195.61,195.63,1218800
2016-10-17,195.64,195.93,194.81,195.05,1323200
2016-10-18,196.70,196.76,195.82,196.20,1263300
2016-10-19,196.49,197.08,196.13,196.74,1041300
2016-10-20,196.37,196.97,195.70,196.42,1309600
2016-10-21,195.54,196.57,195.38,196.47,1376300
2016-10-24,197.37,197.65,196.95,197.27,817000
2016-10-25,197.13,197.39,196.48,196.71,1465300
2016-10-26,195.76,196.86,195.53,196.27,1202300
2016-10-27,197.04,197.07,195.65,195.75,1635500
2016-10-28,195.71,196.40,194.40,195.13,2632000
2016-10-31,195.49,195.74,194.98,195.13,1816300
2016-11-01,195.52,195.54,192.45,193.77,2456600
2016-11-02,193.42,193.81,192.10,192.49,3395900
2016-11-03,192.79,193.00,191.39,191.74,1512200
2016-11-04,191.80,192.71,191.32,191.48,2221300
2016-11-07,194.17,195.74,194.01,195.68,2699100
2016-11-08,195.31,197.18,195.02,196.58,3055900
2016-11-09,194.94,199.34,194.92,198.68,6119100
2016-11-10,199.53,200.44,197.61,199.14,5126400
2016-11-11,198.42,198.96,197.70,198.77,1954200
2016-11-14,199.30,199.49,198.06,198.80,2651000
2016-11-15,199.29,200.42,199.07,200.41,2532400
2016-11-16,199.78,200.29,199.65,200.07,1195000
2016-11-17,200.21,201.13,200.12,201.02,1178200
2016-11-18,201.16,201.32,200.44,200.66,1668300
2016-11-21,201.25,202.18,201.11,202.14,2641300
2016-11-22,202.58,202.73,201.77,202.51,2773400
2016-11-23,202.14,202.71,201.77,202.69,1466300
2016-11-25,203.08,203.50,202.96,203.50,1843100
2016-11-28,203.07,203.37,202.35,202.54,2193000
2016-11-29,202.51,203.35,202.17,202.86,1689600
2016-11-30,203.53,203.69,202.31,202.40,2360100
2016-12-01,202.68,202.71,201.24,201.61,3284100
2016-12-02,201.70,202.23,201.35,201.75,2118900
2016-12-05,202.64,203.30,202.42,202.91,2070500
2016-12-06,203.17,203.63,202.64,203.62,2413300
2016-12-07,203.45,206.32,203.30,206.20,2253900
2016-12-08,206.25,207.27,205.95,206.74,2983000
2016-12-09,207.02,208.03,206.98,208.00,1972000
2016-12-12,207.92,208.42,207.34,207.77,2419600
2016-12-13,208.53,209.70,208.47,209.19,2670200
2016-12-14,208.84,209.59,206.98,207.46,4232900
2016-12-15,207.72,209.23,207.58,208.23,2812500
2016-12-16,208.82,208.84,207.55,207.87,3074000
2016-12-19,208.10,208.80,207.93,208.34,2042000
2016-12-20,208.92,209.31,208.68,209.14,3195300
2016-12-21,209.06,209.20,208.57,208.57,1546600
2016-12-22,207.16,207.24,206.50,207.01,1863700
2016-12-23,206.98,207.22,206.77,207.19,1278900
2016-12-27,207.48,208.15,207.48,207.70,1818500
2016-12-28,208.00,208.07,205.91,206.06,2228000
2016-12-29,206.10,206.47,205.51,206.02,1772700
2016-12-30,206.37,206.43,204.51,205.31,4251000
2017-01-03,206.68,207.33,205.56,206.74,4750200
2017-01-04,207.20,208.18,207.12,207.96,4622400
2017-01-05,207.75,208.04,207.01,207.80,2772100
2017-01-06,207.99,209.09,207.40,208.61,2194600
2017-01-09,208.34,208.48,207.89,207.95,1705200
2017-01-10,207.90,208.82,207.51,207.92,2189400
2017-01-11,207.84,208.51,207.12,208.51,5677600
2017-01-12,207.97,208.19,206.54,208.05,3244600
2017-01-13,208.18,208.78,208.13,208.46,2822700
2017-01-17,207.79,208.21,207.33,207.72,1690000
2017-01-18,208.01,208.22,207.42,208.16,1980500
2017-01-19,208.27,208.43,206.97,207.46,1666900
2017-01-20,208.14,208.70,207.56,208.13,2082500
2017-01-23,207.84,208.21,206.83,207.65,4586600
2017-01-24,207.86,209.40,207.75,208.97,1940100
2017-01-25,209.98,210.77,209.79,210.71,2873000
2017-01-26,210.65,210.90,210.25,210.55,2485100
2017-01-27,210.65,210.76,210.03,210.25,1428200
2017-01-30,209.48,209.52,207.88,208.98,2782300
2017-01-31,208.34,208.97,207.79,208.97,3787100
2017-02-01,209.62,209.86,208.37,209.00,2698800
2017-02-02,208.59,209.40,208.23,209.09,1661300
2017-02-03,210.08,210.73,209.77,210.64,4264400
2017-02-06,210.12,210.54,209.84,210.20,1345500
2017-02-07,210.65,210.84,209.99,210.25,1194600
2017-02-08,210.25,210.61,209.63,210.52,1096100
2017-02-09,210.52,212.04,210.52,211.72,1237100
2017-02-10,212.13,212.80,212.01,212.57,1412400
2017-02-13,213.11,214.00,213.07,213.70,1756300
2017-02-14,213.55,214.59,213.16,214.59,2528100
2017-02-15,214.34,215.89,214.31,215.68,2050200
2017-02-16,215.74,215.90,214.73,215.51,1920100
2017-02-17,214.84,215.84,214.79,215.84,1452600
2017-02-21,216.32,217.32,216.25,217.11,1893000
2017-02-22,216.72,217.19,216.55,217.01,1471400
2017-02-23,217.54,217.54,216.30,217.13,1717200
2017-02-24,216.22,217.42,216.16,217.39,1637700
2017-02-27,217.32,217.90,217.02,217.71,1942200
2017-02-28,217.34,217.58,216.72,217.07,2181000
2017-03-01,218.90,220.66,218.87,220.15,3325500
2017-03-02,219.99,220.02,218.75,218.86,1657100
2017-03-03,218.70,219.09,218.31,218.98,1765900
2017-03-06,218.07,218.65,217.63,218.30,1530600
2017-03-07,217.98,218.33,217.42,217.64,1743200
2017-03-08,217.95,218.20,217.07,217.18,1784400
2017-03-09,217.33,217.84,216.46,217.41,1636200
2017-03-10,218.55,218.56,217.26,218.17,1819900
2017-03-13,218.18,218.41,217.86,218.30,1388100
2017-03-14,217.77,217.81,216.89,217.56,1428400
2017-03-15,218.13,219.85,217.87,219.37,3358800
2017-03-16,219.61,219.65,218.65,219.00,1710900
2017-03-17,219.30,219.44,218.56,218.56,1588500
2017-03-20,218.59,218.89,217.98,218.37,1035900
