Date,Open,High,Low,Close,Volume
2024-10-07,179.71,191.99,178.80,186.09,19826000
2024-10-08,186.10,198.49,184.45,192.20,20984800
2024-10-09,189.77,198.39,185.25,188.91,13445300
2024-10-10,191.89,192.20,178.00,183.34,15937500
2024-10-11,188.50,212.81,187.41,212.59,29933800
2024-10-14,224.48,227.15,201.43,201.67,31736600
2024-10-15,206.73,211.16,189.70,194.31,23114600
2024-10-16,199.90,200.62,191.96,194.09,12434600
2024-10-17,192.80,198.88,185.81,193.42,11414300
2024-10-18,197.59,218.65,197.10,215.86,22814800
2024-10-21,214.49,223.15,208.45,219.05,18028600
2024-10-22,216.21,221.40,212.08,219.70,13758100
2024-10-23,215.08,222.85,204.91,213.95,17025500
2024-10-24,220.09,236.29,218.25,235.89,23221500
2024-10-25,236.39,245.57,227.75,234.34,25093200
2024-10-28,244.64,259.50,242.77,255.34,23182000
2024-10-29,264.25,267.89,251.24,258.24,25958500
2024-10-30,246.50,255.80,239.00,247.31,20593300
2024-10-31,251.12,252.88,237.00,244.50,21954100
2024-11-01,245.33,255.75,225.93,229.71,26258900
2024-11-04,226.97,231.68,220.82,222.99,13438800
2024-11-05,233.34,243.46,225.43,227.80,17993900
2024-11-06,260.00,261.20,242.69,257.81,26270400
2024-11-07,256.80,280.80,252.70,270.81,23931700
2024-11-08,275.58,279.38,262.60,270.42,18764200
2024-11-11,297.00,351.73,293.30,340.00,47315700
2024-11-12,334.77,360.89,325.50,356.59,39705800
2024-11-13,366.98,383.40,321.70,328.38,46238500
2024-11-14,341.77,348.00,318.62,327.67,26605700
2024-11-15,336.60,349.94,324.10,340.65,25842000
2024-11-18,345.42,388.49,339.38,384.79,32612800
2024-11-19,389.50,449.00,381.00,430.54,50954500
2024-11-20,463.40,504.83,457.30,473.83,70212600
2024-11-21,535.63,543.00,371.84,397.28,100444000
2024-11-22,403.60,453.00,393.10,421.88,55935000
2024-11-25,440.75,440.75,383.80,403.45,40180400
2024-11-26,382.78,403.00,338.67,353.69,47891000
2024-11-27,384.29,397.66,372.50,388.84,34921200
2024-11-29,405.75,417.62,381.00,387.47,21987600
2024-12-02,393.64,398.79,374.36,380.30,23404300
2024-12-03,367.85,393.12,362.67,373.43,22817500
2024-12-04,380.00,409.97,365.60,406.00,29862200
2024-12-05,440.12,444.94,379.35,386.40,46189800
2024-12-06,395.29,405.00,384.02,395.01,26206200
2024-12-09,394.00,399.80,363.44,365.34,22606100
2024-12-10,373.37,379.80,356.05,377.32,20139900
2024-12-11,385.66,412.68,385.50,411.40,27594400
2024-12-12,413.71,415.80,386.11,392.19,21074300
2024-12-13,400.07,409.71,388.88,408.67,21536900
2024-12-16,424.87,437.61,406.46,408.50,31099400
2024-12-17,413.45,415.68,386.01,386.42,21822000
2024-12-18,386.00,390.32,338.00,349.64,24422900
2024-12-19,365.44,367.50,323.48,326.46,26922900
2024-12-20,319.37,364.88,317.00,364.20,44889900
2024-12-23,358.00,359.74,329.08,332.23,21742500
2024-12-24,343.50,361.00,342.70,358.18,16377800
2024-12-26,350.31,351.80,340.00,341.05,13249000
2024-12-27,342.30,342.71,323.20,330.00,13778500
2024-12-30,319.40,320.01,301.75,302.96,25771200
2024-12-31,316.96,317.91,285.01,289.62,22486100
2025-01-02,300.11,310.80,292.32,300.01,17933900
2025-01-03,303.00,343.40,301.77,339.66,25039000
2025-01-06,349.85,383.02,335.50,379.09,26707300
2025-01-07,366.47,371.28,335.30,341.43,24736800
2025-01-08,335.25,344.39,317.22,331.70,18274800
2025-01-10,330.31,337.00,317.91,327.91,16478700
2025-01-13,309.95,329.60,303.80,328.40,15914500
2025-01-14,343.00,354.90,331.30,342.17,17889500
2025-01-15,357.81,368.42,353.01,360.62,19941300
2025-01-16,357.89,370.26,345.80,367.00,14826600
2025-01-17,383.28,398.68,380.15,396.50,24339100
2025-01-21,395.46,404.42,367.76,389.10,26215800
2025-01-22,384.91,390.35,371.05,377.31,16000300
2025-01-23,371.75,390.20,370.70,373.12,23306500
2025-01-24,377.67,378.11,351.00,353.67,22943800
2025-01-27,340.50,356.88,322.30,347.92,21224400
2025-01-28,344.68,348.92,333.09,335.93,11461400
2025-01-29,338.20,343.63,329.33,341.25,11716800
2025-01-30,345.83,356.11,338.52,340.09,12607800
2025-01-31,340.11,352.71,332.00,334.79,15533300
2025-02-03,310.00,348.85,308.90,347.09,18207300
2025-02-04,341.20,353.79,340.45,348.31,12486000
2025-02-05,349.00,352.36,333.55,336.70,10874100
2025-02-06,338.70,344.50,320.71,325.46,12795200
2025-02-07,335.00,344.40,327.00,327.56,15049700
2025-02-10,333.50,340.38,328.30,334.62,10104100
2025-02-11,332.98,338.50,318.70,319.46,12017200
2025-02-12,315.96,331.17,314.19,326.82,9837900
2025-02-13,325.50,330.59,317.35,324.92,9848100
2025-02-14,325.15,344.89,323.71,337.73,13912800
2025-02-18,337.35,340.49,326.79,333.97,10179800
2025-02-19,337.30,340.19,317.22,318.67,17043100
2025-02-20,323.73,327.83,314.95,323.92,12291700
2025-02-21,327.93,329.00,299.04,299.69,17930800
2025-02-24,304.00,304.04,276.40,282.76,17974900
2025-02-25,268.10,270.29,243.70,250.51,31379600
2025-02-26,245.39,264.46,244.01,263.27,19876900
2025-02-27,267.43,271.46,239.48,240.05,18520300
2025-02-28,238.32,257.50,231.92,255.43,22662600
2025-03-03,293.15,295.10,246.10,250.92,30575700
2025-03-04,240.28,293.04,237.01,275.15,30130200
2025-03-05,278.31,311.28,271.77,308.55,26199800
2025-03-06,298.95,320.94,292.17,304.11,25309500
2025-03-07,298.15,310.44,281.44,287.18,22764500
2025-03-10,268.00,272.00,231.62,239.27,31478300
2025-03-11,245.00,263.10,231.51,260.59,22076100
2025-03-12,264.60,269.77,248.22,262.55,14328600
2025-03-13,262.00,270.40,253.76,263.26,13804700
2025-03-14,273.99,298.70,272.62,297.49,23714000
2025-03-17,292.15,296.81,281.60,294.27,12998700
2025-03-18,283.20,290.99,272.50,283.19,15398200
2025-03-19,290.30,309.08,287.12,304.23,19378800
2025-03-20,298.79,309.40,293.40,302.07,15058100
2025-03-21,295.70,306.39,293.05,304.00,21774000
2025-03-24,316.14,336.77,311.36,335.72,23099700
2025-03-25,333.48,343.59,329.50,341.81,15053700
2025-03-26,336.50,340.34,319.73,329.31,16732400
2025-03-27,322.53,333.49,318.00,324.59,13838300
2025-03-28,318.38,320.80,289.25,289.41,21058900
2025-03-31,281.87,294.89,272.80,288.27,14866300
2025-04-01,293.53,307.60,280.65,306.02,16780100
2025-04-02,297.86,319.47,296.98,312.54,16293800
2025-04-03,286.75,299.22,276.03,282.28,18223000
2025-04-04,285.02,299.14,265.30,293.61,24847100
2025-04-07,260.14,297.60,252.60,268.14,28449300
2025-04-08,278.15,282.84,235.93,237.95,22952700
2025-04-09,242.02,302.34,241.69,296.86,38346400
2025-04-10,282.50,288.31,261.37,272.34,19237800
2025-04-11,281.30,304.15,276.30,299.98,21334100
2025-04-14,309.80,314.60,300.10,311.45,15635400
2025-04-15,312.22,319.75,306.81,310.72,11217800
2025-04-16,306.06,318.60,304.00,311.66,12847200
2025-04-17,313.89,320.00,306.00,317.20,13511100
2025-04-21,324.99,330.99,309.00,317.76,16053200
2025-04-22,328.71,348.96,327.01,343.03,24036500
2025-04-23,354.70,355.83,339.00,345.73,16690700
2025-04-24,344.97,351.03,343.24,350.34,10781400
2025-04-25,354.00,373.23,353.12,368.71,19338600
2025-04-28,373.29,373.66,354.53,369.25,11490900
2025-04-29,369.02,383.95,366.80,381.45,13038800
2025-04-30,373.78,384.00,362.39,380.11,13762900
2025-05-01,392.29,403.90,381.03,381.60,16944100
2025-05-02,393.88,401.70,387.51,394.37,15948000
2025-05-05,383.33,391.93,374.20,386.53,14424100
2025-05-06,378.56,387.86,377.77,385.60,9695600
2025-05-07,393.80,396.35,388.26,392.48,10555300
2025-05-08,408.17,423.11,404.50,414.38,22135600
2025-05-09,420.00,430.35,406.22,416.03,17161800
2025-05-12,420.92,422.04,400.83,404.90,16245500
2025-05-13,412.55,422.55,404.12,421.61,12925000
2025-05-14,420.40,425.94,410.41,416.75,10722700
2025-05-15,411.70,415.36,394.14,397.03,14674700
2025-05-16,399.00,406.90,389.01,399.80,12461100
2025-05-19,392.81,414.59,392.62,413.42,12822000
