Date,Open,High,Low,Close,Volume
2024-10-07,416.00,417.11,409.00,409.54,20919800
2024-10-08,410.90,415.66,408.17,414.71,19229300
2024-10-09,415.86,420.38,414.30,417.46,14974300
2024-10-10,415.23,417.35,413.15,415.84,13848400
2024-10-11,416.14,417.13,413.25,416.32,14144900
2024-10-14,417.77,424.04,417.52,419.14,16653100
2024-10-15,422.18,422.48,415.26,418.74,18900200
2024-10-16,415.17,416.36,410.48,416.12,15508900
2024-10-17,422.36,422.50,415.59,416.72,14820000
2024-10-18,417.14,419.65,416.26,418.16,17145300
2024-10-21,416.12,418.96,413.75,418.78,14206100
2024-10-22,418.49,430.58,418.04,427.51,25482200
2024-10-23,430.86,431.08,422.53,424.60,19654400
2024-10-24,425.33,425.98,422.40,424.73,13581600
2024-10-25,426.76,432.52,426.57,428.15,16899100
2024-10-28,431.66,431.94,426.30,426.59,14882400
2024-10-29,428.00,433.17,425.80,431.95,17644100
2024-10-30,437.44,438.50,432.10,432.53,29749100
2024-10-31,415.36,416.16,406.30,406.35,53971000
2024-11-01,409.01,415.50,407.50,410.37,24230400
2024-11-04,409.80,410.42,405.57,408.46,19672300
2024-11-05,408.37,414.90,408.08,411.46,17626000
2024-11-06,412.42,420.45,410.52,420.18,26681800
2024-11-07,421.28,426.85,419.88,425.43,19901800
2024-11-08,425.32,426.50,421.78,422.54,16891400
2024-11-11,422.52,424.81,416.00,418.01,24503300
2024-11-12,418.25,424.44,417.20,423.03,19401200
2024-11-13,421.64,429.33,418.21,425.20,21502200
2024-11-14,425.00,428.17,420.00,426.89,30246900
2024-11-15,419.82,422.80,413.64,415.00,28247600
2024-11-18,414.87,418.40,412.10,415.76,24727000
2024-11-19,413.11,417.94,411.55,417.79,18133500
2024-11-20,416.87,417.29,410.58,415.49,19191700
2024-11-21,419.50,419.78,410.29,412.87,20780200
2024-11-22,411.37,417.40,411.06,417.00,24814600
2024-11-25,418.38,421.08,414.85,418.79,27691100
2024-11-26,419.59,429.04,418.85,427.99,23458900
2024-11-27,425.11,427.23,422.02,422.99,18332400
2024-11-29,420.09,424.88,417.80,423.46,16271900
2024-12-02,421.57,433.00,421.31,430.98,20207200
2024-12-03,429.84,432.47,427.74,431.20,18302000
2024-12-04,433.03,439.67,432.63,437.42,26009400
2024-12-05,437.92,444.66,436.17,442.62,21697800
2024-12-06,442.30,446.10,441.77,443.57,18821000
2024-12-09,442.60,448.33,440.50,446.02,19144400
2024-12-10,444.39,449.62,441.60,443.33,18469500
2024-12-11,444.05,450.35,444.05,448.99,19200200
2024-12-12,449.11,456.16,449.11,449.56,20834800
