Date,Open,High,Low,Close,Volume
2024-10-07,69.50,69.50,63.96,64.66,757800
2024-10-08,61.20,65.73,61.09,65.25,492100
2024-10-09,66.16,67.16,62.81,63.05,500000
2024-10-10,60.87,61.49,55.02,55.80,1289200
2024-10-11,56.36,59.84,55.38,59.46,498900
2024-10-14,59.63,59.90,56.95,59.12,499400
2024-10-15,59.60,64.38,58.97,61.30,600800
2024-10-16,62.82,77.49,62.82,77.39,2265100
2024-10-17,84.00,90.20,79.34,81.05,3148400
2024-10-18,84.53,100.87,82.35,98.59,2990200
2024-10-21,104.00,104.50,92.15,94.48,2281700
2024-10-22,95.00,99.90,87.19,93.36,1870900
2024-10-23,90.65,93.92,88.15,90.53,1508800
2024-10-24,90.73,92.86,84.23,85.33,1039000
2024-10-25,85.33,91.65,84.01,85.99,905700
2024-10-28,90.24,98.00,89.00,93.88,1835000
2024-10-29,89.05,105.28,82.56,104.95,2103200
2024-10-30,106.16,108.73,99.85,103.29,1011300
2024-10-31,102.00,108.25,98.00,103.81,844800
2024-11-01,106.30,118.36,102.77,109.53,1314100
2024-11-04,93.50,94.99,76.00,78.00,5727300
2024-11-05,75.81,78.00,72.71,75.73,5244900
2024-11-06,81.50,87.99,78.00,87.09,2799400
2024-11-07,88.47,91.76,84.31,86.60,1857500
2024-11-08,88.70,94.59,86.66,91.76,1711500
2024-11-11,95.00,95.00,87.67,91.59,1082700
2024-11-12,89.11,92.43,86.17,91.51,1385200
2024-11-13,93.49,95.00,80.30,81.60,1596500
2024-11-14,82.36,83.38,78.39,79.34,832600
2024-11-15,76.49,81.80,68.65,70.16,2605700
2024-11-18,72.00,79.37,70.50,76.46,1229000
2024-11-19,71.45,71.85,64.56,68.50,2514400
2024-11-20,70.00,75.80,66.37,75.14,1453500
2024-11-21,76.09,82.14,72.92,79.90,1269500
2024-11-22,83.92,87.85,78.50,86.85,1802400
2024-11-25,88.42,88.77,81.80,83.17,935600
2024-11-26,82.76,89.18,81.41,81.45,725600
2024-11-27,82.30,86.35,82.09,82.49,787100
2024-11-29,83.89,92.40,83.04,91.00,838100
2024-12-02,92.82,92.82,82.10,82.47,1011700
2024-12-03,82.00,82.50,74.40,76.92,1211700
2024-12-04,77.30,80.72,76.05,76.55,967700
2024-12-05,76.00,80.04,73.75,78.80,776500
2024-12-06,79.73,81.95,76.63,78.29,625500
2024-12-09,78.41,79.12,72.20,72.61,690500
2024-12-10,72.16,74.96,70.70,71.57,506100
2024-12-11,76.00,79.34,74.35,75.11,994700
2024-12-12,75.61,78.00,73.60,74.54,486300
2024-12-13,74.62,76.99,72.08,72.42,333900
2024-12-16,72.42,78.00,70.06,76.74,715000
2024-12-17,76.74,76.74,68.80,71.90,769400
2024-12-18,73.00,74.65,68.00,69.32,703300
2024-12-19,70.00,71.42,67.00,68.23,666500
2024-12-20,66.74,70.61,66.51,66.80,722000
2024-12-23,67.05,68.66,65.60,68.24,534900
2024-12-24,68.47,69.57,66.51,69.04,215800
2024-12-26,68.00,73.00,67.80,72.63,468800
2024-12-27,73.30,74.77,68.76,70.71,458700
2024-12-30,69.76,70.76,67.15,67.86,504000
2024-12-31,68.79,69.88,65.11,66.61,576100
2025-01-02,67.52,74.34,67.52,74.05,641100
2025-01-03,75.16,82.01,74.77,80.80,763200
2025-01-06,83.80,84.24,80.50,81.58,568300
2025-01-07,81.07,82.03,72.53,73.65,806400
2025-01-08,72.33,73.61,69.51,72.42,715500
2025-01-10,72.42,74.66,69.50,70.83,379000
2025-01-13,69.45,72.44,68.10,69.76,580300
2025-01-14,72.03,72.75,68.60,69.86,250000
2025-01-15,72.00,74.14,70.15,73.62,782100
2025-01-16,74.51,75.05,72.02,74.06,295400
2025-01-17,75.22,79.12,74.13,77.83,699600
2025-01-21,81.63,89.38,79.07,88.53,1369500
2025-01-22,94.39,94.39,88.64,90.81,1199400
2025-01-23,89.35,97.70,89.00,94.20,1111900
2025-01-24,97.90,99.57,91.31,92.00,883000
2025-01-27,83.50,84.23,76.50,78.19,1896400
2025-01-28,80.00,81.03,75.00,78.92,629200
2025-01-29,79.58,82.70,79.20,81.38,508400
2025-01-30,82.78,86.88,82.64,85.38,552700
2025-01-31,86.91,87.46,82.14,82.30,689900
2025-02-03,78.00,83.23,77.01,81.87,390200
