Date,Open,High,Low,Close,Volume
2024-10-07,170.42,172.33,169.55,169.97,6791000
2024-10-08,170.60,174.64,170.44,174.37,7845400
2024-10-09,174.56,178.61,173.81,178.29,8120900
2024-10-10,177.65,178.30,174.18,175.41,7115900
2024-10-11,175.50,177.00,174.40,175.77,5869400
2024-10-14,176.55,177.22,175.50,176.12,4688700
2024-10-15,176.94,178.22,173.75,174.09,5848600
2024-10-16,173.50,174.91,171.64,174.77,6383000
2024-10-17,177.50,177.75,175.14,175.68,5474000
2024-10-18,176.80,176.97,174.58,174.69,5001300
2024-10-21,174.45,175.15,173.16,173.76,4198400
2024-10-22,175.45,175.85,174.28,175.31,5510100
2024-10-23,174.50,176.07,173.01,173.10,4830400
2024-10-24,173.32,174.95,172.91,174.38,3488000
2024-10-25,174.78,176.29,173.10,173.52,3674700
2024-10-28,174.05,174.17,172.14,172.42,4330000
2024-10-29,172.29,174.02,172.29,173.43,4122900
2024-10-30,173.98,176.16,172.79,174.56,5822500
2024-10-31,170.52,170.88,167.40,167.84,9477500
2024-11-01,170.15,172.27,169.10,170.02,5680600
2024-11-04,170.31,170.48,168.73,169.59,4804400
2024-11-05,170.47,171.89,170.32,171.78,5456800
2024-11-06,178.52,182.10,177.42,181.24,11085000
2024-11-07,181.08,186.67,180.54,186.37,7759400
2024-11-08,186.26,190.16,186.26,189.25,8520400
2024-11-11,191.05,191.50,187.84,189.13,5973600
2024-11-12,188.54,190.61,187.20,189.58,6629900
2024-11-13,189.00,191.77,188.79,189.63,5695400
2024-11-14,188.66,189.59,186.71,187.05,7804300
2024-11-15,184.52,185.80,182.33,183.74,8986300
2024-11-18,184.30,186.18,182.88,185.73,6289400
2024-11-19,184.89,189.32,184.32,188.90,8117000
2024-11-20,190.90,190.97,187.82,190.75,4860200
2024-11-21,191.94,196.04,191.64,192.43,11394300
2024-11-22,193.00,194.20,191.06,192.29,6879400
2024-11-25,194.50,194.75,187.99,187.99,15138500
2024-11-26,188.32,192.40,188.32,190.37,6427200
2024-11-27,188.96,188.96,182.22,182.70,8368800
2024-11-29,184.01,185.93,184.00,184.84,4628000
2024-12-02,185.29,185.29,181.00,181.41,8859700
2024-12-03,181.18,183.04,179.11,182.89,8917100
2024-12-04,188.00,189.79,185.90,188.19,8906300
2024-12-05,189.02,189.02,185.85,186.24,6398100
2024-12-06,187.00,192.63,186.38,191.69,10503400
2024-12-09,196.30,198.31,188.93,190.45,20158000
2024-12-10,173.46,177.80,171.06,177.74,26502000
2024-12-11,178.00,181.38,174.83,178.58,13188700
2024-12-12,178.00,178.17,174.81,175.32,8154200
2024-12-13,175.00,176.14,171.64,173.39,8351100
2024-12-16,173.84,174.27,170.93,171.23,9572000
2024-12-17,170.75,172.99,169.27,169.71,8940200
2024-12-18,169.41,171.23,165.36,165.41,8817900
2024-12-19,167.55,171.00,167.40,168.79,8386400
2024-12-20,167.73,171.26,165.63,169.66,13810500
2024-12-23,169.59,169.62,167.17,169.14,6518200
2024-12-24,169.70,171.77,169.03,171.41,2451500
2024-12-26,170.50,172.55,170.50,171.68,4100100
2024-12-27,170.38,171.15,167.20,168.96,4344300
2024-12-30,166.51,167.91,164.55,166.91,5254800
2024-12-31,167.20,167.30,165.84,166.64,4307500
2025-01-02,168.52,168.69,164.90,166.03,5360800
2025-01-03,166.70,167.20,165.27,166.32,5876000
2025-01-06,167.31,168.05,165.19,165.69,6845400
2025-01-07,165.58,166.16,161.32,162.03,7712200
2025-01-08,162.18,163.98,161.43,163.14,7596200
2025-01-10,159.20,159.20,153.92,154.50,13593900
2025-01-13,153.74,154.15,152.42,153.92,8828500
2025-01-14,156.42,157.25,154.35,156.31,7410200
2025-01-15,158.67,159.15,157.26,158.31,10701200
2025-01-16,160.15,161.50,158.41,159.54,9210600
2025-01-17,161.77,163.16,160.54,161.03,11618300
2025-01-21,163.87,173.37,162.75,172.57,30232000
2025-01-22,191.51,191.99,180.57,184.22,48028500
2025-01-23,181.64,186.57,181.50,186.47,17314600
2025-01-24,188.64,189.10,181.87,183.60,12147200
2025-01-27,168.90,172.52,152.66,158.28,42201600
2025-01-28,162.99,165.83,156.75,164.00,20319300
2025-01-29,164.03,164.03,160.01,162.02,9866600
2025-01-30,164.78,171.49,164.10,170.38,14981700
2025-01-31,170.41,173.00,169.13,170.06,8704600
2025-02-03,163.20,169.90,163.20,168.60,8250600
2025-02-04,170.40,170.40,166.35,167.89,6777000
2025-02-05,168.99,171.89,168.52,171.66,7866700
2025-02-06,173.00,175.65,171.57,172.35,7036900
2025-02-07,175.00,177.39,173.18,174.46,9991300
2025-02-10,176.00,179.99,174.92,178.92,7625900
2025-02-11,177.62,179.12,176.45,177.19,6528800
2025-02-12,174.89,174.89,170.71,172.22,7454800
2025-02-13,173.00,174.38,172.10,173.86,6421700
