Date,Open,High,Low,Close,Volume
2024-10-07,21.65,21.92,20.78,21.20,9072900
2024-10-08,20.96,21.62,20.88,21.19,5673500
2024-10-09,21.07,21.89,21.07,21.09,6439500
2024-10-10,20.83,21.28,20.57,20.88,6187100
2024-10-11,20.82,22.20,20.56,21.62,8506000
2024-10-14,21.45,21.94,21.23,21.91,7985200
2024-10-15,21.99,22.85,21.67,21.95,10767200
2024-10-16,22.24,22.49,21.61,21.79,6821600
2024-10-17,21.67,21.79,20.82,21.27,7053500
2024-10-18,21.50,22.14,21.30,22.11,7030100
2024-10-21,21.83,22.53,21.50,21.87,6273200
2024-10-22,21.61,21.78,21.10,21.21,6697600
2024-10-23,21.10,21.27,20.14,20.25,7046900
2024-10-24,20.60,20.97,20.34,20.41,7173000
2024-10-25,20.50,20.54,19.45,19.72,14852600
2024-10-28,20.01,20.60,19.84,20.52,7855000
2024-10-29,20.09,20.85,19.96,20.73,7604400
2024-10-30,20.59,21.32,20.44,20.70,5057500
2024-10-31,20.63,20.90,20.06,20.08,4407300
2024-11-01,20.18,21.16,20.00,20.83,7419600
2024-11-04,20.54,20.75,19.88,20.31,4862800
2024-11-05,20.50,21.67,20.43,21.62,6824100
2024-11-06,22.04,22.50,21.49,21.67,10584500
2024-11-07,22.49,22.69,21.76,22.21,16528700
2024-11-08,22.29,23.09,20.10,20.50,24571400
2024-11-11,20.50,20.51,19.72,20.20,16544000
2024-11-12,19.98,20.23,19.21,19.22,10158500
2024-11-13,19.01,19.78,18.85,19.13,10664500
2024-11-14,19.24,19.43,18.80,18.84,7284900
2024-11-15,18.50,18.65,17.29,17.34,17410000
2024-11-18,17.32,18.01,17.31,17.99,10152400
2024-11-19,17.57,19.82,17.57,19.80,15289100
2024-11-20,19.96,22.55,19.93,21.63,24993800
2024-11-21,21.71,22.80,21.58,22.46,15567400
2024-11-22,22.42,24.03,22.04,23.53,17355500
2024-11-25,24.56,24.85,23.67,24.02,17090200
2024-11-26,23.31,23.77,22.79,23.36,10878700
2024-11-27,23.75,23.89,22.93,23.47,6186300
2024-11-29,23.51,24.80,23.51,24.11,7475600
2024-12-02,23.79,24.49,23.31,24.25,10053200
2024-12-03,23.77,24.65,23.73,24.45,7103100
